ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
277,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.05,35,26,19.5,13.5,6,10,17,NA,NA,NA,63,0.31,NA,0.24,4.45
280,merianae,hunted,female,A,NA,NA,10/8/2009,NA,2.5,41.5,65,28.5,18,8,13.5,20.5,NA,NA,NA,107,1.76,,0.47,173.77
281,merianae,hunted,female,A,NA,NA,10/8/2009,NA,2.15,40.5,41.5,28,17,8,12.5,17.5,NA,NA,NA,150,2.44,,0.45,158.47
282,merianae,hunted,female,A,NA,NA,10/8/2009,NA,1.9,39,31.5,26,16,7.5,11.5,18,NA,NA,NA,111,1.88,,0.44,168.04
283,merianae,hunted,female,A,NA,NA,10/8/2009,NA,2.35,40.5,31,28,17.5,8,13,18,NA,NA,NA,159,2.85,,0.45,168.75
287,merianae,hunted.longcautivity,female,A,NA,NA,10/8/2009,NA,1,32,57,21,13.5,6,9,15,NA,NA,NA,85,0.56,NA,0.32,63.69
291,merianae,hunted,female,A,NA,NA,10/8/2009,NA,1.6,35,63,24,15,7,11,16.5,NA,NA,NA,92,1.39,NA,0.43,147.31
294,merianae,hunted,female,A,NA,NA,10/25/2009,NA,1.75,36.5,52,24,16,7,12,16,NA,NA,NA,115,1.29,NA,0.37,123
295,merianae,hunted,female,A,NA,NA,10/25/2009,NA,1.9,41,67,24,15.5,7,11,20.5,NA,NA,NA,117,3.34,NA,0.55,69.35
298,merianae,hunted,female,A,NA,NA,10/25/2009,NA,2.05,38.5,69,25.5,16.5,7.5,12.5,16.5,NA,NA,NA,106,1.55,NA,0.4,96.02
299,merianae,hunted,female,A,NA,NA,10/25/2009,NA,1.7,37,62,22.5,15,7,10.5,17.5,NA,NA,NA,137,1.9,NA,0.44,50.46
301,merianae,hunted,female,A,NA,NA,10/25/2009,NA,1.65,36.5,62,23,15.5,7,12,18,NA,NA,NA,117,2.76,NA,0.41,86.75
304,merianae,hunted,female,C,NA,NA,10/29/2009,NA,2,38.5,17,27,16.5,8,12,19,NA,NA,NA,115,8.43,NA,0.61,119.64
305,merianae,hunted,female,C,NA,NA,10/29/2009,NA,2.4,40,61,28,17.5,8,12,20,NA,NA,NA,91,4.13,NA,0.62,221.3
306,merianae,hunted,female,C,NA,NA,10/29/2009,NA,2.15,39.5,56,27.5,16.5,7.5,13,20,NA,NA,NA,95,2.9,NA,0.53,162.17
307,merianae/rufescens,hunted,female,A,NA,NA,10/30/2009,NA,1.6,37.5,69,23,15.5,7,12,17,NA,NA,NA,92,2.45,NA,0.48,62.47
308,merianae,hunted,female,A,NA,NA,10/30/2009,NA,1.1,33,62,21,14,6.5,10,13,NA,NA,NA,105,1.09,NA,0.35,32.98
309,merianae,hunted,female,A,NA,NA,10/30/2009,NA,1.6,34.5,64,25,14.5,7,10.5,17,NA,NA,NA,90,1.64,NA,0.49,50.5
315,merianae,hunted,female,C,NA,NA,11/10/2009,NA,1.95,39,50,26,15.5,7.5,11.5,19,NA,NA,NA,43,46.27,NA,1.74,74.59
318,merianae,hunted,female,C,NA,NA,11/14/2009,NA,1.8,36,17.5,27.5,15.5,7,11.5,17,NA,NA,NA,79,12.03,NA,1.13,135.07
322,merianae,hunted,female,A,NA,NA,11/17/2009,NA,2.4,39,63.5,28.5,16,7.5,12,19.5,NA,NA,NA,28,124.52,NA,2.82,64.83
323,merianae,hunted,female,A,NA,NA,11/17/2009,NA,1.45,37,40,21.5,15,7,11,17,NA,NA,NA,62,2.74,NA,0.68,33.43
324,merianae,hunted,female,A,NA,NA,11/17/2009,NA,2.05,39,55,28.5,15,7,11.5,18,NA,NA,NA,NA,NA,NA,NA,26.23
325,merianae,hunted,female,A,NA,NA,11/17/2009,NA,2.4,40,37.5,31.5,17.5,8,12.5,19.5,NA,NA,NA,56,17.57,NA,1.24,138.81
326,merianae,hunted,female,A,NA,NA,11/17/2009,NA,2.05,40,29.5,27,17,7.5,12.5,20,NA,NA,NA,64,5.86,NA,0.88,121.74
327,merianae,hunted,female,A,NA,NA,11/17/2009,NA,1.7,37.5,44,24,15,7,11,19,NA,NA,NA,123,2.6,NA,0.51,109.91
329,merianae,hunted,female,A,NA,NA,11/17/2009,NA,1.2,34,62,22.5,13.5,6,9.5,15.5,NA,NA,NA,45,5.6,NA,0.97,60.65
331,merianae,hunted,female,C,NA,NA,11/22/2009,NA,1,32.5,59,20,13,5.5,9.5,16,NA,NA,NA,73,1.14,NA,0.44,20.61
332,merianae,hunted,female,C,NA,NA,11/22/2009,NA,0.7,29.5,50,18.5,12,5,9,12.5,NA,NA,NA,NA,0.15,NA,NA,3.8
333,merianae,hunted,female,C,NA,NA,11/22/2009,NA,0.5,26.5,50,16,10.5,5,8,12,NA,NA,NA,NA,0.08,NA,0.29,0.98
336,merianae,hunted,female,C,NA,NA,11/22/2009,NA,0.9,33,13,20,12.5,5.5,9,16.5,NA,NA,NA,48,6.42,NA,0.96,24.99
338,merianae,hunted,female,C,NA,NA,11/22/2009,NA,1.75,37.5,63,26.5,14.5,7,10.5,18.5,NA,NA,NA,40,55.99,NA,1.88,106.51
339,rufescens,roadkilled,female,H,"30º53,573´","63º12,795´",11/22/2009,NA,2,39.5,54,29.5,16,7,11.5,19,NA,NA,NA,58,1.56,NA,0.55,54.79
344,merianae,hunted,female,A,NA,NA,11/24/2009,NA,1.7,37,51,25,15,6.5,11.5,18.5,NA,NA,NA,25,4.09,NA,0.86,97.55
345,merianae,hunted,female,A,NA,NA,11/24/2009,NA,1.15,33,57,22.5,13,6,9,15.5,NA,NA,NA,65,0.38,NA,0.26,40.8
348,merianae,hunted,female,A,NA,NA,11/24/2009,NA,2.4,43.5,38.5,29,17,7.5,12,21,NA,NA,NA,41,24.01,NA,1.42,87.54
